epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9031,3.57754,23.6281,1.74755,0.73412,0.03365,0.03171,0.01286,2.76376,8.7014,1.16984,0.00032381,0.00032381,0.00032381
2,23.4612,2.50051,3.42477,1.16094,0.41192,0.37832,0.34495,0.14612,2.35519,3.56267,1.13062,0.000591435,0.000591435,0.000591435
3,28.9034,2.25143,2.34601,1.07085,0.5388,0.51581,0.46866,0.18982,2.1241,4.70847,1.07382,0.000792401,0.000792401,0.000792401
4,34.2933,2.11481,1.86657,1.05122,0.77697,0.53851,0.60156,0.25168,2.12478,1.47671,1.04083,0.00070003,0.00070003,0.00070003
5,39.5876,2.04724,1.5965,1.02185,0.78906,0.59531,0.68235,0.27571,2.07847,1.41962,1.04242,0.00060004,0.00060004,0.00060004
6,44.3419,2.00221,1.43245,0.99941,0.84185,0.68378,0.73214,0.31086,1.96788,1.1982,1.00903,0.00050005,0.00050005,0.00050005
7,49.4469,1.93222,1.27135,0.99344,0.86707,0.70737,0.78348,0.37116,1.82832,1.10509,0.98116,0.00040006,0.00040006,0.00040006
8,54.5512,1.88537,1.23533,0.97907,0.89428,0.69904,0.78344,0.34686,1.95406,1.10343,0.99792,0.00030007,0.00030007,0.00030007
9,59.9747,1.84468,1.14193,0.96679,0.88841,0.73449,0.80416,0.39614,1.86463,1.02049,0.98778,0.00020008,0.00020008,0.00020008
10,65.4089,1.8008,1.07798,0.95653,0.89337,0.7583,0.83497,0.38974,1.87952,0.98364,0.98593,0.00010009,0.00010009,0.00010009
